date,newDead,confirm,heal,newHeal,dead,newConfirm
20200120,0,270,25,0,6,0
20200121,3,375,28,3,9,105
20200122,8,444,28,0,17,69
20200123,7,549,31,3,24,105
20200124,15,729,32,1,39,180
20200125,13,1052,42,10,52,323
20200126,24,1423,44,2,76,371
20200127,24,2714,47,3,100,1291
20200128,25,3554,80,33,125,840
20200129,37,4586,90,10,162,1032
20200130,42,5806,116,26,204,1220
20200131,45,7153,166,50,249,1347
20200201,45,9074,215,49,294,1921
20200202,56,11177,295,80,350,2103
20200203,64,13522,396,101,414,2345
20200204,65,16678,520,124,479,3156
20200205,70,19655,633,113,549,2987
20200206,69,22112,817,184,618,2447
20200207,81,24953,1115,298,699,2841
20200208,81,27100,1439,324,780,2147
20200209,91,29631,1795,356,871,2618
20200210,103,31728,2222,427,974,2097
20200211,94,33366,2639,417,1068,1638
20200212,242,48206,3441,802,1310,14840
20200213,8,51986,4131,690,1318,4823
20200214,139,54406,4774,643,1457,2420
20200215,139,56249,5623,849,1596,1843
20200216,100,58182,6639,1016,1696,1933
20200217,93,59989,7862,1223,1789,1807
20200218,132,61682,9128,1266,1921,1693
20200219,108,62457,10337,1209,2029,775
20200220,115,63088,11788,1451,2144,631
20200221,106,63454,13557,1769,2250,366
20200222,96,64084,15299,1742,2346,630
20200223,149,64287,16738,1439,2495,398
20200224,68,64786,18854,2116,2563,499
20200225,52,65187,20912,2058,2615,401
20200226,26,65596,23200,2288,2641,409
20200227,41,65914,26403,3203,2682,318
20200228,45,66337,28895,2492,2727,423
20200229,34,66907,31187,2292,2761,570
20200301,42,67103,33757,2570,2803,196
20200302,31,67217,36167,2410,2834,114
20200303,37,67332,38556,2389,2871,115
20200304,31,67466,40479,1923,2902,134
20200305,29,67592,41966,1487,2931,126
20200306,28,67666,43468,1502,2959,74
20200307,27,67707,45011,1543,2986,41
20200308,21,67743,46433,1422,3007,36
20200309,17,67760,47585,1152,3024,17
20200310,22,67773,49056,1471,3046,13
20200311,10,67781,50298,1242,3056,8
20200312,6,67786,51553,1255,3062,5
20200313,13,67790,52943,1390,3075,4
20200314,10,67794,54278,1335,3085,4
20200315,14,67798,55094,816,3099,4
20200316,12,67798,55987,893,3111,4
20200317,11,67800,56883,896,3122,1
20200318,8,67800,57678,795,3130,0
20200319,2,67800,58381,703,3132,0
20200320,7,67800,58942,561,3139,0
20200321,5,67800,59432,490,3144,0
20200322,9,67800,59879,447,3153,0
20200323,7,67801,60323,444,3160,1
20200324,3,67801,60810,487,3163,0
20200325,6,67801,61201,391,3169,0
20200326,5,67801,61731,530,3174,0
20200327,3,67801,62098,367,3177,0
20200328,0,67801,62565,467,3177,0
20200329,9,67801,62882,317,3186,0
20200330,1,67801,63153,271,3187,0
20200331,6,67802,63326,173,3193,1
20200401,6,67802,63471,145,3199,0
20200402,4,67802,63612,141,3203,0
20200403,4,67803,63762,150,3207,1
20200404,3,67803,63945,183,3210,0
20200405,2,67803,64014,69,3212,0
20200406,0,67803,64073,59,3212,0
20200407,1,67803,64142,69,3213,0
20200408,2,67803,64187,45,3215,0
20200409,1,67803,64236,49,3216,0
20200410,3,67803,64264,28,3219,0
20200411,0,67803,64281,17,3219,0
20200412,2,67803,64338,57,3221,0
20200413,0,67803,64363,25,3221,0
20200414,1,67803,64402,39,3222,0
20200415,0,67803,64435,33,3222,0
20200416,0,68128,63487,17,4512,0
20200417,0,68128,63494,7,4512,0
20200418,0,68128,63507,13,4512,0
20200419,0,68128,63511,4,4512,0
20200420,0,68128,63511,0,4512,0
20200421,0,68128,63519,8,4512,0
20200422,0,68128,63547,28,4512,0
20200423,0,68128,63569,22,4512,0
20200424,0,68128,63593,24,4512,0
20200425,0,68128,63604,11,4512,0
20200426,0,68128,63616,12,4512,0
20200427,0,68128,63616,0,4512,0
20200428,0,68128,63616,0,4512,0
20200429,0,68128,63616,0,4512,0
20200430,0,68128,63616,0,4512,0
20200501,0,68128,63616,0,4512,0
20200502,0,68128,63616,0,4512,0
20200503,0,68128,63616,0,4512,0
20200504,0,68128,63616,0,4512,0
20200505,0,68128,63616,0,4512,0
20200506,0,68128,63616,0,4512,0
20200507,0,68128,63616,0,4512,0
20200508,0,68128,63616,0,4512,0
20200509,0,68129,63616,0,4512,1
20200510,0,68134,63616,0,4512,5
20200511,0,68134,63616,0,4512,0
20200512,0,68134,63616,0,4512,0
20200513,0,68134,63616,0,4512,0
